"LOCATION","Country","ENV_INDICATORS","Indicator","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","2004","2004",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1990","1990",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1991","1991",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1992","1992",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1993","1993",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1994","1994",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1995","1995",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1996","1996",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1997","1997",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1998","1998",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1999","1999",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2000","2000",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2001","2001",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2002","2002",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2003","2003",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2004","2004",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE23","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1990","1990",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1991","1991",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1992","1992",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1993","1993",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1994","1994",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1995","1995",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1996","1996",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1997","1997",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1998","1998",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","1999","1999",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","2000","2000",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","2001","2001",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","2002","2002",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","2003","2003",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","2004","2004",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE24","Monitoring sites in agricultural areas where one or more pesticides are present in groundwater (%)","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1990","1990",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1991","1991",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1992","1992",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1993","1993",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1994","1994",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1995","1995",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1996","1996",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1997","1997",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1998","1998",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","1999","1999",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","2000","2000",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","2001","2001",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","2002","2002",387184,,
"AUS","Australia","WATE26","Total national water resources","2003","2003",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE26","Total national water resources","2004","2004",387184,,
"AUS","Australia","WATE26","Total national water resources","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","1990","1990",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","1991","1991",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","1992","1992",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","1993","1993",18575.443,,
"AUS","Australia","WATE28","National water withdrawals (million m3)","1994","1994",21141.525,,
"AUS","Australia","WATE28","National water withdrawals (million m3)","1995","1995",19875.227,,
"AUS","Australia","WATE28","National water withdrawals (million m3)","1996","1996",22185.731,,
"AUS","Australia","WATE28","National water withdrawals (million m3)","1997","1997",24071,,
"AUS","Australia","WATE28","National water withdrawals (million m3)","1998","1998",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","1999","1999",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","2000","2000",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","2001","2001",21703,,
"AUS","Australia","WATE28","National water withdrawals (million m3)","2002","2002",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","2003","2003",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE28","National water withdrawals (million m3)","2004","2004",,"M","Missing value; data cannot exist"
